codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
45	regate_recibido	181	170154	66.1	12.2	3	55	1	2372227	Mallorca	Pablo Maffeo	0	0	0	0	0	0
3	regate_conseguido	407	484753	33.9	87.8	3	55	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	0	0	0
49	recuperacion_balon	407	484753	34.7	91.8	3	56	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	0	0	0
1	pase	407	484753	35.4	93.6	3	58	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	36.6	83.7	0
83	sin_identificar	181	107594	65.7	23.3	3	59	1	2372227	Mallorca	Omar Mascarell	0	0	0	0	0	0
1	pase	407	449718	36.6	83.7	3	59	1	2372227	Las Palmas	Enzo Loiodice	1	0	0	28.8	72.8	0
1	pase	407	487703	29.2	71.4	4	2	1	2372227	Las Palmas	Álex Suárez	1	0	0	32.4	66	0
1	pase	407	449718	31.3	63.7	4	5	1	2372227	Las Palmas	Enzo Loiodice	1	0	0	34.7	59.3	0
1	pase	407	198221	34.7	59.3	4	6	1	2372227	Las Palmas	Javi Muñoz	1	0	0	28.8	62.8	0
1	pase	407	449718	30.4	68.3	4	8	1	2372227	Las Palmas	Enzo Loiodice	1	0	0	31.3	77.2	0
1	pase	407	484753	32.2	80.5	4	13	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	38	73.3	0
1	pase	407	449718	39	69.2	4	14	1	2372227	Las Palmas	Enzo Loiodice	1	0	0	32.3	68	0
1	pase	407	487703	32.4	68	4	16	1	2372227	Las Palmas	Álex Suárez	1	0	0	34.9	84.7	0
1	pase	407	484753	36.4	86.2	4	18	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	46.3	95.8	0
1	pase	407	86398	46.3	95.8	4	20	1	2372227	Las Palmas	Jonathan Viera	1	0	0	42	92.2	0
1	pase	407	167432	55.5	83.3	4	26	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	57.9	94.5	0
1	pase	407	86398	58	90.8	4	28	1	2372227	Las Palmas	Jonathan Viera	1	0	0	58.9	84.5	0
1	pase	407	449718	58.3	83.5	4	29	1	2372227	Las Palmas	Enzo Loiodice	1	0	0	48.9	86.8	0
1	pase	407	86398	45	81.3	4	31	1	2372227	Las Palmas	Jonathan Viera	1	0	0	35.8	73.9	0
1	pase	407	487703	36.9	72.3	4	33	1	2372227	Las Palmas	Álex Suárez	1	0	0	42.2	66.7	0
1	pase	407	484753	43.7	69.9	4	37	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	54.7	88	0
